Job_Title,Company,Location,Description,Platform,latitude,longitude
Network Planning/GIS Technician - Telecommunications,"Montana Opticom,LLC","Bozeman, MT","The Company

Montana Opticom, LLC, a rapidly expanding fiber optic communications and technology services provider in Southwest Montana, is currently recruiting for exceptionally motivated and proven Graphical Information Systems (GIS) Technician.

K...",Glassdoor,45.6794293,-111.044047
Geospatial Technician,RES,"Willow Creek, MT","**Description**

We are committed to building a workplace where everyone feels heard and respected, and extending our culture of care so that every individual can reach their full potential. We want you to have a sense of belonging and feel valued fo...",WhatJobs,45.8321885,-111.6323646
General Consideration - Geospatial,"ONX, Inc.","Willow Creek, MT","ABOUT onX

We're a team of builders, adventurers, and risk takers using technology to help people confidently explore the outdoors. Driven by our mission to awaken the adventurer inside everyone, we build products that optimize every outdoor experien...",WhatJobs,45.8321885,-111.6323646
Geographic Information Systems (GIS) and Remote Sensing - Adjunct Instructor,Rocky Mountain College,Anywhere,"Rocky Mountain College invites applications for an in-person adjunct faculty member to teach Geographic Information Systems (GIS} and Remote sensing for the 2026-27 academic year. The fall 2026 semester need is one Introductory GIS course with a lab,...",LinkedIn,-14.1601396,33.8624178
Senior Backend Engineer — Geospatial & Offline Maps,Make Choteau Home,"Bozeman, MT","A leading outdoor technology firm is seeking a Senior Backend Engineer to build backend infrastructure that powers offline map experiences for outdoor enthusiasts. Responsibilities include building scalable services, processing large-scale geospatial...",Learn4Good,45.6794293,-111.044047
GIS/CAD Specialist,GSI Environmental Inc.,"Missoula, MT","GSI is seeking a full-time GIS/CAD Specialist to join our team in Missoula, Montana, to assist with the visual representation of technical concepts. This position entails a firm understanding of Geographic Information Systems (GIS) and Computer-Aided...",ZipRecruiter,46.8701049,-113.995267
Geospatial Data Analyst,Rocky Mountain Elk Foundation,"Missoula, MT","Description
Geospatial Data Analyst

The Rocky Mountain Elk Foundation (RMEF) is a mission-driven non-profit dedicated to ensuring the future of elk, other wildlife, their habitat and our hunting heritage. Since our founding in 1984, we have helped c...",Paylocity,46.8701049,-113.995267
"Bozeman,MT:Critical Information Systems Coordinator 1,2,3 at State Of",State of Louisiana,"Bozeman, MT","Your Next Step in Bozeman

Flexible Role in Bozeman: Critical Information Systems Coordinator 1, 2, 3 Employer: State of Louisiana (Hiring in Bozeman) Based in: Bozeman, MT (a key business district)

Pay: Benefits: A competitive compensation package ...",EasyCareers,45.6794293,-111.044047
Senior Backend Engineer – Geospatial & Offline Maps,onX,"Bozeman, MT","A digital outdoor navigation company based in Montana seeks a Senior Backend Engineer to enhance backend infrastructure for offline map experiences. The role involves building scalable services, processing geospatial data, and developing data pipelin...",Learn4Good,45.6794293,-111.044047
Geospatial Data Operations Specialist - Fixed-Term (Montana or Remote),onX,"Missoula, MT","ABOUT onX
As a pioneer in digital outdoor navigation with a suite of apps, onX was founded in Montana, which in turn has inspired our mission to awaken the adventurer inside everyone. With more than 400 employees located around the country working in...",Geo Careers,46.8701049,-113.995267
GIS Consultant,Schneider Electric,"Denver, CO","Job Description:

For this U.S. based position, the expected compensation range is $90,000 - $127,000 per year, which includes base pay and short-term incentive. We are open to remote workers for this position, with preference to candidates in the gr...",Indeed,39.7392364,-104.984862
Senior Geospatial Analyst,NV5,"Broomfield, CO","Overview:

NV5 Geospatial is currently seeking a skilled Senior Geospatial Analyst. The Senior Geospatial Analyst provides advanced geospatial analysis and support to meet mission requirements, primarily within a Department of Defense (DoD) or Air Fo...",Indeed,39.9403995,-105.05208
GIS Industry Solutions Specialist - Rail,Esri,"Denver, CO","Overview

Leverage your transportation industry experience to inform, educate, and inspire Esri users and prospects in the Rail Industry. Identify, craft, and execute marketing campaigns that support targeted goals and objectives. As an industry spec...",Indeed,39.7392364,-104.984862
GIS Analyst II,Montech Inc.,"Lakewood, CO","Montech Inc. is a leader in business support solutions, offering professional and technical services for federal and state clients, tribal governments, and commercial customers. Headquartered in Albuquerque, New Mexico, Montech Inc. has employees who...",Indeed,39.7085736,-105.0846694
